상품기본정보,,구매옵션,,,,,,,,검색옵션,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,고시정보,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
카테고리,판매대행수수료,옵션유형1,옵션값1,옵션유형2,옵션값2,옵션유형3,옵션값3,옵션유형4,옵션값4,옵션유형1,옵션값1,옵션유형2,옵션값2,옵션유형3,옵션값3,옵션유형4,옵션값4,옵션유형5,옵션값5,옵션유형6,옵션값6,옵션유형7,옵션값7,옵션유형8,옵션값8,옵션유형9,옵션값9,옵션유형10,옵션값10,옵션유형11,옵션값11,옵션유형12,옵션값12,옵션유형13,옵션값13,옵션유형14,옵션값14,옵션유형15,옵션값15,옵션유형16,옵션값16,옵션유형17,옵션값17,옵션유형18,옵션값18,옵션유형19,옵션값19,옵션유형20,옵션값20,옵션유형21,옵션값21,옵션유형22,옵션값22,옵션유형23,옵션값23,옵션유형24,옵션값24,옵션유형25,옵션값25,옵션유형26,옵션값26,옵션유형27,옵션값27,옵션유형28,옵션값28,옵션유형29,옵션값29,옵션유형30,옵션값30,옵션유형31,옵션값31,옵션유형32,옵션값32,옵션유형33,옵션값33,옵션유형34,옵션값34,옵션유형35,옵션값35,옵션유형36,옵션값36,옵션유형37,옵션값37,옵션유형38,옵션값38,옵션유형39,옵션값39,옵션유형40,옵션값40,옵션유형41,옵션값41,옵션유형42,옵션값42,옵션유형43,옵션값43,옵션유형44,옵션값44,옵션유형45,옵션값45,옵션유형46,옵션값46,옵션유형47,옵션값47,옵션유형48,옵션값48,옵션유형49,옵션값49,옵션유형50,옵션값50,옵션유형51,옵션값51,옵션유형52,옵션값52,옵션유형53,옵션값53,옵션유형54,옵션값54,옵션유형55,옵션값55,옵션유형56,옵션값56,옵션유형57,옵션값57,옵션유형58,옵션값58,옵션유형59,옵션값59,옵션유형60,옵션값60,옵션유형61,옵션값61,옵션유형62,옵션값62,옵션유형63,옵션값63,옵션유형64,옵션값64,옵션유형65,옵션값65,옵션유형66,옵션값66,옵션유형67,옵션값67,옵션유형68,옵션값68,옵션유형69,옵션값69,옵션유형70,옵션값70,상품고시정보 카테고리,상품고시정보값1,상품고시정보값2,상품고시정보값3,상품고시정보값4,상품고시정보값5,상품고시정보값6,상품고시정보값7,상품고시정보값8,상품고시정보값9,상품고시정보값10,상품고시정보값11,상품고시정보값12,상품고시정보값13,상품고시정보값14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
필수, 선택필수,  필수,  필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,선택필수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"※ 주의!
이 엑셀템플릿은 상품등록을 위한 엑셀 템플릿이 아닙니다. 상품등록을 위한 템플릿은 각 카테고리를 선택하여 다운받아주세요.

각 카테고리에 해당하는 노출카테고리, 수수료, 속성정보(옵션, 추가옵션), 고시정보를 한번에 확인할 수 있습니다.

이 엑셀파일에 입력된 카테고리별 정보를 ‘열’로 입력하여, 엑셀업로드시트에 복사하여 사용할 수 있습니다."," 
※주의
카테고리별 수수료 확인이 가능합니다. (전자결제수수료 3% 제외 및 VAT별도) 

- 엑셀업로드시 수수료는 자동등록됩니다. 
","구매옵션은 고객이 상품을 구매할 때 선택하는 정보입니다.
예) 옵션유형 : 색상 / 옵션값 : 레드

1. 옵션유형을 확인하세요. 
구매옵션의 옵션유형은 카테고리마다 다릅니다.

2. 옵션유형에 따른 옵션값을 입력하세요. 
● 직접입력형 : 옵션값을 직접 입력
● 선택형 : 셀을 클릭해 드롭다운 목록에서 선택 또는 직접 입력
● 단위형 : 셀을 클릭해 입력할 수 있는 단위 확인 후 [숫자+단위] 입력

예) 등록할 상품이 2개 컬러, 2개 사이즈의 신발인 경우, 총 4행을 작성해야 합니다. (2X2=4)
● 색상 | 레드 || 사이즈 | 250 
● 색상 | 레드 || 사이즈 | 260 
● 색상 | 블루 || 사이즈 | 250 
● 색상 | 블루 || 사이즈 | 260






※ 입력방법이 [필수]로 표시된 옵션유형의 옵션값은 반드시 입력하세요. 
※ 사용하지 않는 옵션유형 셀의 텍스트는 모두 지우세요.",,,,,,,,"검색옵션은 검색어 또는 검색 필터로 사용되는 정보입니다. 
예) 옵션유형 : 성별 / 옵션값 :남아용

1. 입력할 옵션유형을 확인하세요.
검색옵션의 옵션유형은 카테고리마다 다릅니다. 옵션값이 상세할수록 검색이 잘 되고 더 많이 노출됩니다. 

2. 옵션유형에 따른 옵션값을 입력하세요. 
● 직접입력형 : 옵션값을 직접 입력
● 선택형 : 셀을 클릭해 드롭다운 목록에서 선택 또는 직접 입력
● 단위형 : 셀을 클릭해 입력할 수 있는 단위 확인 후 [숫자+단위]로 입력

예) 등록할 상품이 2개 성별, 2개 형태, 2개 단계, 1개 사용체중인 기저기인 경우, 총 8행을 작성해야 합니다. (2X4=8)
● 성별 | 남아용 || 형태 | 팬티형 || 단계 | 1단계 || 사용체중 | 13~18kg 
● 성별 | 남아용 || 형태 | 팬티형 || 단계 | 2단계 || 사용체중 | 13~18kg 
● 성별 | 남아용 || 형태 | 밴드형 || 단계 | 1단계 || 사용체중 | 13~18kg 
● 성별 | 남아용 || 형태 | 밴드형 || 단계 | 2단계 || 사용체중 | 13~18kg 
● 성별 | 여아용 || 형태 | 팬티형 || 단계 | 1단계 || 사용체중 | 13~18kg 
● 성별 | 여아용 || 형태 | 팬티형 || 단계 | 2단계 || 사용체중 | 13~18kg 
● 성별 | 여아용 || 형태 | 밴드형 || 단계 | 1단계 || 사용체중 | 13~18kg 
● 성별 | 여아용 || 형태 | 밴드형 || 단계 | 2단계 || 사용체중 | 13~18kg 


※ 입력방법이 [필수]로 표시된 옵션유형의 옵션값은 반드시 입력하세요. 
※ 사용하지 않는 옵션유형 셀의 텍스트는 모두 지우세요.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
다운받은 엑셀파일의  5행부터 각 카테고리에 해당하는 [상품고시정보 카테고리]를 입력해주세요. 

※주의: 같은 카테고리내 [고시정보 카테고리] 항목이 여러개 있을 경우, 등록상품에 가장 적합한 카테고리 1개를 선택하여 입력해주세요. 






예) 기타 재화","5행 AT열부터 상품고시정보항목에 맞는 상품고시정보값을 셀에 덮어 입력하세요.

카테고리마다 입력해야 하는 상품고시정보값이 다르며, 표시된 상품고시정보값은 전부 입력해야 합니다. 셀마다 상품고시정보값을 1개씩 입력하세요.

예) 
스포츠용품ㅣ품명및모델명   ㅣ크기, 중량 ㅣ색상ㅣ재질                     ㅣ제품구성ㅣ출시년월     ㅣ제조사
스포츠용품ㅣ나이키에어맥스ㅣ220           ㅣ블랙ㅣ겉감:00, 안감:00ㅣ운동화    ㅣ2013.01.01ㅣ나이키코리아

※ 입력한 상품고시정보는 아이템페이지의 상품정보 > 필수 표기 정보에 표시됩니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[83274] 가구/홈데코>가구>가구부속자재,10.8,"색상
[선택]",,"수량
[선택]
[기본단위: 개]",,,,,,"가구/홈 재질
[선택]","선택해주세요
(직접입력가능)","색상계열
[선택]","선택해주세요
(직접입력가능)","의자발커버 종류
[선택]","선택해주세요
(직접입력가능)","총 수량
[선택]
[기본단위: 개]",,"설치지원방식
[선택]","선택해주세요
(직접입력가능)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,침구류/커튼,제품 소재,색상,치수,제품구성,제조자(수입자),제조국,세탁방법 및 취급시 주의사항,품질보증기준,A/S 책임자와 전화번호,,,,,
[83274] 가구/홈데코>가구>가구부속자재,10.8,"색상
[선택]",,"수량
[선택]
[기본단위: 개]",,,,,,"가구/홈 재질
[선택]","선택해주세요
(직접입력가능)","색상계열
[선택]","선택해주세요
(직접입력가능)","의자발커버 종류
[선택]","선택해주세요
(직접입력가능)","총 수량
[선택]
[기본단위: 개]",,"설치지원방식
[선택]","선택해주세요
(직접입력가능)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,가구(침대 / 소파 / 싱크대 / DIY제품 등),품명,KC 인증정보,색상,구성품,주요 소재,제조자(수입자),제조국,크기,재공급(리퍼브) 가구의 경우 재공급 사유 및 하자 부위에 관한 정보,배송/설치비용,품질보증기준,A/S 책임자와 전화번호,,
[83274] 가구/홈데코>가구>가구부속자재,10.8,"색상
[선택]",,"수량
[선택]
[기본단위: 개]",,,,,,"가구/홈 재질
[선택]","선택해주세요
(직접입력가능)","색상계열
[선택]","선택해주세요
(직접입력가능)","의자발커버 종류
[선택]","선택해주세요
(직접입력가능)","총 수량
[선택]
[기본단위: 개]",,"설치지원방식
[선택]","선택해주세요
(직접입력가능)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,기타 재화,품명 및 모델명,인증/허가 사항,제조국(원산지),제조자(수입자),소비자상담 관련 전화번호,,,,,,,,,
[77907] 가구/홈데코>가구>거실테이블>리프트테이블,10.8,"색상
[필수]",,,,,,,,"설치지원방식
[선택]","선택해주세요
(직접입력가능)","사이즈
[선택]",,"가구/홈 재질
[선택]","선택해주세요
(직접입력가능)","가구자재등급
[선택]","선택해주세요
(직접입력가능)","색상계열
[선택]","선택해주세요
(직접입력가능)","가로길이
[선택]
[기본단위: cm]",,"형태
[선택]","선택해주세요
(직접입력가능)","접이식 가능여부
[선택]","선택해주세요
(직접입력가능)","상판확장가능 여부
[선택]","선택해주세요
(직접입력가능)","수납가능여부
[선택]","선택해주세요
(직접입력가능)","인테리어 컨셉
[선택]","선택해주세요
(직접입력가능)","리프트 가능여부
[선택]","선택해주세요
(직접입력가능)","상판 재질
[선택]","선택해주세요
(직접입력가능)","테이블종류
[선택]","선택해주세요
(직접입력가능)","상판 모양
[선택]","선택해주세요
(직접입력가능)","최대사용인원
[선택]
[기본단위: 개]",,"수량
[선택]
[기본단위: 개]",,"아이템 깊이
[선택]
[기본단위: cm]",,"아이템 높이
[선택]
[기본단위: cm]",,"다리 형태
[선택]",,"포함 구성 요소
[선택]","선택해주세요
(직접입력가능)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,가구(침대 / 소파 / 싱크대 / DIY제품 등),품명,KC 인증정보,색상,구성품,주요 소재,제조자(수입자),제조국,크기,재공급(리퍼브) 가구의 경우 재공급 사유 및 하자 부위에 관한 정보,배송/설치비용,품질보증기준,A/S 책임자와 전화번호,,
[77907] 가구/홈데코>가구>거실테이블>리프트테이블,10.8,"색상
[필수]",,,,,,,,"설치지원방식
[선택]","선택해주세요
(직접입력가능)","사이즈
[선택]",,"가구/홈 재질
[선택]","선택해주세요
(직접입력가능)","가구자재등급
[선택]","선택해주세요
(직접입력가능)","색상계열
[선택]","선택해주세요
(직접입력가능)","가로길이
[선택]
[기본단위: cm]",,"형태
[선택]","선택해주세요
(직접입력가능)","접이식 가능여부
[선택]","선택해주세요
(직접입력가능)","상판확장가능 여부
[선택]","선택해주세요
(직접입력가능)","수납가능여부
[선택]","선택해주세요
(직접입력가능)","인테리어 컨셉
[선택]","선택해주세요
(직접입력가능)","리프트 가능여부
[선택]","선택해주세요
(직접입력가능)","상판 재질
[선택]","선택해주세요
(직접입력가능)","테이블종류
[선택]","선택해주세요
(직접입력가능)","상판 모양
[선택]","선택해주세요
(직접입력가능)","최대사용인원
[선택]
[기본단위: 개]",,"수량
[선택]
[기본단위: 개]",,"아이템 깊이
[선택]
[기본단위: cm]",,"아이템 높이
[선택]
[기본단위: cm]",,"다리 형태
[선택]",,"포함 구성 요소
[선택]","선택해주세요
(직접입력가능)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,기타 재화,품명 및 모델명,인증/허가 사항,제조국(원산지),제조자(수입자),소비자상담 관련 전화번호,,,,,,,,,
[77910] 가구/홈데코>가구>거실테이블>사이드테이블,10.8,"색상
[필수]",,,,,,,,"사이즈
[선택]",,"색상계열
[선택]","선택해주세요
(직접입력가능)","가로길이
[선택]
[기본단위: cm]",,"접이식 가능여부
[선택]","선택해주세요
(직접입력가능)","수납가능여부
[선택]","선택해주세요
(직접입력가능)","바퀴 유무
[선택]","선택해주세요
(직접입력가능)","상판 재질
[선택]","선택해주세요
(직접입력가능)","테이블종류
[선택]","선택해주세요
(직접입력가능)","상판 모양
[선택]","선택해주세요
(직접입력가능)","최대사용인원
[선택]
[기본단위: 개]",,"상판확장가능 여부
[선택]","선택해주세요
(직접입력가능)","수량
[선택]
[기본단위: 개]",,"설치지원방식
[선택]","선택해주세요
(직접입력가능)","다리 형태
[선택]",,"아이템 깊이
[선택]
[기본단위: cm]",,"아이템 높이
[선택]
[기본단위: cm]",,"프레임 재질
[선택]","선택해주세요
(직접입력가능)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,가구(침대 / 소파 / 싱크대 / DIY제품 등),품명,KC 인증정보,색상,구성품,주요 소재,제조자(수입자),제조국,크기,재공급(리퍼브) 가구의 경우 재공급 사유 및 하자 부위에 관한 정보,배송/설치비용,품질보증기준,A/S 책임자와 전화번호,,
[77910] 가구/홈데코>가구>거실테이블>사이드테이블,10.8,"색상
[필수]",,,,,,,,"사이즈
[선택]",,"색상계열
[선택]","선택해주세요
(직접입력가능)","가로길이
[선택]
[기본단위: cm]",,"접이식 가능여부
[선택]","선택해주세요
(직접입력가능)","수납가능여부
[선택]","선택해주세요
(직접입력가능)","바퀴 유무
[선택]","선택해주세요
(직접입력가능)","상판 재질
[선택]","선택해주세요
(직접입력가능)","테이블종류
[선택]","선택해주세요
(직접입력가능)","상판 모양
[선택]","선택해주세요
(직접입력가능)","최대사용인원
[선택]
[기본단위: 개]",,"상판확장가능 여부
[선택]","선택해주세요
(직접입력가능)","수량
[선택]
[기본단위: 개]",,"설치지원방식
[선택]","선택해주세요
(직접입력가능)","다리 형태
[선택]",,"아이템 깊이
[선택]
[기본단위: cm]",,"아이템 높이
[선택]
[기본단위: cm]",,"프레임 재질
[선택]","선택해주세요
(직접입력가능)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,기타 재화,품명 및 모델명,인증/허가 사항,제조국(원산지),제조자(수입자),소비자상담 관련 전화번호,,,,,,,,,
[77908] 가구/홈데코>가구>거실테이블>온열테이블/코타츠,10.8,"색상
[필수]",,,,,,,,"구성품
[선택]",,"사이즈
[선택]",,"가구/홈 재질
[선택]","선택해주세요
(직접입력가능)","색상계열
[선택]","선택해주세요
(직접입력가능)","가로길이
[선택]
[기본단위: cm]",,"형태
[선택]","선택해주세요
(직접입력가능)","접이식 가능여부
[선택]","선택해주세요
(직접입력가능)","온열기능
[선택]","선택해주세요
(직접입력가능)","리프트 가능여부
[선택]","선택해주세요
(직접입력가능)","상판 재질
[선택]","선택해주세요
(직접입력가능)","테이블종류
[선택]","선택해주세요
(직접입력가능)","상판 모양
[선택]","선택해주세요
(직접입력가능)","최대사용인원
[선택]
[기본단위: 개]",,"상판확장가능 여부
[선택]","선택해주세요
(직접입력가능)","수량
[선택]
[기본단위: 개]",,"다리 형태
[선택]",,"파손주의 여부
[선택]","선택해주세요
(직접입력가능)","아이템 깊이
[선택]
[기본단위: cm]",,"아이템 높이
[선택]
[기본단위: cm]",,"프레임 재질
[선택]","선택해주세요
(직접입력가능)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,가구(침대 / 소파 / 싱크대 / DIY제품 등),품명,KC 인증정보,색상,구성품,주요 소재,제조자(수입자),제조국,크기,재공급(리퍼브) 가구의 경우 재공급 사유 및 하자 부위에 관한 정보,배송/설치비용,품질보증기준,A/S 책임자와 전화번호,,
